year,atmospheric_ch4_ppb
1984,1644.85
1985,1657.29
1986,1670.09
1987,1682.7
1988,1693.15
1989,1704.53
1990,1714.43
1991,1724.82
1992,1735.47
1993,1736.5
1994,1742.07
1995,1748.88
1996,1751.28
1997,1754.53
1998,1765.54
1999,1772.34
2000,1773.33
2001,1771.22
2002,1772.66
2003,1777.33
2004,1777.05
2005,1774.16
2006,1774.96
2007,1781.38
2008,1787.01
2009,1793.53
2010,1798.93
2011,1803.15
2012,1808.12
2013,1813.41
2014,1822.57
2015,1834.26
2016,1843.12
2017,1849.58
2018,1857.33
2019,1866.58
2020,1878.93
2021,1895.26
2022,1911.82
2023,1922.39