Water_Year,Streamflow_cfs
1917,5880
1918,4000
1919,6150
1920,5050
1921,4610
1922,6370
1923,4500
1924,2120
1925,4500
1926,3950
1927,5700
1928,4680
1929,4890
1930,2780
1931,1840
1932,4780
1933,4230
1934,1470
1935,5110
1936,4450
1937,6010
1938,22000
1939,2200
1940,4750
1941,6410
1942,5860
1943,6370
1944,3470
1945,5810
1946,4680
1947,3930
1948,5100
1949,4450
1950,4490
1951,23000
1952,6790
1953,3480
1954,3990
1955,3870
1956,23400
1957,4880
1958,6630
1959,2340
1960,3010
1961,1550
1962,4300
1963,13200
1964,2710
1965,18000
1966,2670
1967,6950
1968,2020
1969,8190
1970,4150
1971,3420
1972,3270
1973,6620
1974,5320
1975,7280
1976,2060
1977,2390
1978,6440
1979,6010
1980,11000
1981,3560
1982,11200
1983,9520
1984,5030
1985,3060
1986,6930
1987,2410
1988,2090
1989,3370
1990,1850
1991,3560
1992,2550
1993,6210
1994,2640
1995,7370
1996,12500
1997,24600
1998,7110
1999,4920
2000,5060
2001,3880
2002,3530
2003,6510
2004,3170
2005,10200
2006,7550
2007,1870
2008,4370
2009,4900
2010,7010
2011,7160
2012,4230
2013,2780
2014,1680
2015,2370
2016,4080
2017,10500
2018,12100
2019,6770
2020,3560
2021,2160
2022,4810
2023,9520